borough_code,neighborhood,zipcode,land_square_feet,gross_square_feet,sale_price,community_district,school_district,floor_area_total_building,floor_area_residential,maximum_allowable_residential_far,x_coordinate,y_coordinate
4,BAYSIDE,11364,6700.0,2280.0,1118000.0,411,26,2280,1520,0.5,1052472,215618
4,BAYSIDE,11361,3800.0,1102.0,820000.0,411,26,1102,1102,0.5,1043944,218717
4,BAYSIDE,11361,4000.0,1230.0,948000.0,411,26,1230,1230,0.5,1046253,216008
4,BAYSIDE,11361,4300.0,1014.0,900000.0,411,26,1014,1014,0.5,1044390,220409
4,BAYSIDE,11357,4600.0,1848.0,860000.0,407,25,1848,1848,0.5,1041992,222312
4,BAYSIDE,11360,4320.0,975.0,680000.0,407,26,975,975,0.5,1042937,221854
4,BAYSIDE,11360,4275.0,1043.0,895000.0,407,26,1043,1043,0.5,1042613,222000
4,BAYSIDE,11361,4000.0,1008.0,820000.0,411,26,1008,1008,0.5,1045054,217643
4,BAYSIDE,11360,4320.0,1130.0,780000.0,407,26,1130,1130,0.5,1043250,222512
4,BAYSIDE,11360,4320.0,938.0,879000.0,407,26,938,938,0.5,1043086,222200
4,BAYSIDE,11360,4320.0,1130.0,860000.0,407,26,1130,1130,0.5,1043246,222026
4,BAYSIDE,11357,4000.0,1407.0,843000.0,407,25,1407,1407,0.5,1041981,221778
4,BAYSIDE,11360,4320.0,1095.0,888000.0,407,26,1095,1095,0.5,1043119,222409
4,BAYSIDE,11360,4590.0,1410.0,875500.0,407,26,1410,1410,0.5,1042712,222017
4,BAYSIDE,11360,3800.0,1148.0,860000.0,411,26,1148,1148,0.5,1042542,220436
4,BAYSIDE,11361,4000.0,1138.0,780000.0,411,26,1138,1138,0.5,1044188,219522
4,BAYSIDE,11360,4320.0,1135.0,755000.0,407,26,1135,1135,0.5,1042980,222019
4,BAYSIDE,11361,4250.0,1281.0,560000.0,411,26,1281,1281,0.5,1045632,218978
4,BAYSIDE,11361,3535.0,1506.0,918000.0,411,26,1506,1506,0.5,1044428,217574
4,BAYSIDE,11360,4320.0,975.0,680000.0,407,26,975,975,0.5,1042780,222326
4,BAYSIDE,11361,4000.0,2170.0,890000.0,411,26,2170,2170,0.5,1044876,217393
4,BAYSIDE,11361,4000.0,1261.0,915000.0,411,26,1261,1261,0.5,1044710,217795
4,BAYSIDE,11357,4523.0,1760.0,718000.0,407,25,1760,1760,0.5,1041595,222213
4,BAYSIDE,11361,4000.0,1688.0,925000.0,411,26,1688,1688,0.5,1045963,217902
4,BAYSIDE,11360,4082.0,1120.0,650000.0,411,26,1120,1120,0.5,1042362,221436
4,BAYSIDE,11360,4000.0,1512.0,888000.0,411,26,1512,1512,0.5,1042659,220850
4,BAYSIDE,11361,6000.0,2998.0,1950000.0,411,26,2998,2998,0.5,1044800,217309
4,BAYSIDE,11361,6540.0,2600.0,1290000.0,411,26,2600,2600,0.5,1046378,216433
4,BAYSIDE,11361,4000.0,1769.0,920000.0,411,26,1769,1769,0.5,1045171,219977
4,BAYSIDE,11361,6000.0,1866.0,904500.0,411,26,1866,1866,0.5,1045512,216213
4,BAYSIDE,11361,6000.0,1996.0,900000.0,411,26,1996,1996,0.5,1045363,218681
4,BAYSIDE,11358,4387.0,1440.0,930000.0,411,25,1440,1440,0.5,1041797,221042
4,BAYSIDE,11360,4167.0,1600.0,900000.0,411,26,1600,1600,0.5,1042430,220448
4,BAYSIDE,11360,3540.0,1560.0,810000.0,407,25,1560,1560,0.5,1041738,222408
4,BAYSIDE,11361,5000.0,1196.0,800000.0,411,26,1196,1196,0.5,1044489,218072
4,BAYSIDE,11361,4387.0,1104.0,800000.0,411,26,1104,1104,0.5,1044462,217705
4,BAYSIDE,11360,4500.0,1755.0,920000.0,411,26,1755,1170,0.5,1044336,221200
4,BAYSIDE,11360,4500.0,1105.0,920000.0,407,25,1105,1105,0.5,1042537,221688
4,BAYSIDE,11360,5200.0,2173.0,1100000.0,411,26,2173,1470,0.5,1042578,221491
4,BAYSIDE,11360,4200.0,2149.0,926000.0,411,26,2149,1228,0.5,1044764,221271
4,BAYSIDE,11361,8000.0,843.0,1250000.0,411,26,843,843,0.5,1044748,217701
4,BAYSIDE,11360,4200.0,2149.0,580000.0,411,26,2149,1228,0.5,1044743,221352
4,BAYSIDE,11360,1800.0,1232.0,659000.0,407,25,1232,1232,0.5,1042259,221600
4,BAYSIDE,11364,3995.0,1418.0,900000.0,411,26,1418,1418,0.5,1049825,211800
